map_name,model,h,p,r,x,y,z,scale,parent_name,parent_index,props
gandg2,models/pyweek_wall1,90.0,0.0,0.0,280.0,396.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,280.0,394.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,280.0,392.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,280.0,390.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,280.0,388.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,280.0,386.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,286.0,386.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,286.0,388.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,286.0,390.0,25.0980434417725,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,287.0,391.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,289.0,391.0,25.1190624237061,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,291.0,391.0,25.1960334777832,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,293.0,391.0,25.1596641540527,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,295.0,391.0,25.2697868347168,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,297.0,391.0,25.3282146453857,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,299.0,391.0,25.3496627807617,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,301.0,391.0,25.2688617706299,1.0,quadD3,14,
gandg2,models/pyweek_wall1,0.0,0.0,0.0,303.0,391.0,25.2534332275391,1.0,quadD3,14,
gandg2,models/pyweek_box,0.0,0.0,0.0,279.600006103516,401.700012207031,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,0.0,0.0,0.0,279.399993896484,402.200012207031,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,0.0,0.0,0.0,279.600006103516,402.700012207031,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,0.0,0.0,0.0,279.399993896484,403.399993896484,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,0.0,0.0,0.0,278.799987792969,402.799987792969,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,0.0,0.0,0.0,278.799987792969,402.100006103516,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,0.0,0.0,0.0,279.0,401.5,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,0.0,0.0,0.0,278.5,401.600006103516,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,0.0,0.0,0.0,278.799987792969,401.899993896484,25.5980415344238,1.0,quadD3,14,
gandg2,models/pyweek_wall1,90.0,0.0,0.0,280.0,402.0,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,90.0,0.0,0.0,279.5,402.600006103516,25.5980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,90.0,0.0,0.0,279.0,402.5,25.5980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,90.0,0.0,0.0,279.399993896484,402.0,25.5980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,90.0,0.0,0.0,278.100006103516,402.299987792969,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,90.0,0.0,0.0,277.799987792969,401.700012207031,25.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,90.0,0.0,0.0,278.200012207031,401.899993896484,25.5980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,90.0,0.0,0.0,279.399993896484,402.399993896484,26.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,90.0,0.0,0.0,279.0,401.899993896484,26.0980415344238,1.0,quadD3,14,
gandg2,models/pyweek_box,90.0,0.0,0.0,278.799987792969,402.399993896484,26.0980415344238,1.0,quadD3,14,
